full_trajectory_uncertainty,id_0,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,y0,x0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,p0_1,p1_2,p2_3,p3_4,p4_5,p5_6,p6_7,p7_8,p0-2,p0-3,p0-4,p0-5,p0-6,p0-7,p0-8,p1-3,p1-4,p1-5,p1-6,p1-7,p1-8,p2-4,p2-5,p2-6,p2-7,p2-8,p3-5,p3-6,p3-7,p3-8,p4-6,p4-7,p4-8,p5-7,p5-8,p6-8,nr_cells0,nr_cells1,nr_cells2,nr_cells3,nr_cells4,nr_cells5,nr_cells6,nr_cells7,nr_cells8
0.713,0,75,16,0,0,22,1,0,389,270.0,275.0,275.0,270.0,275.0,270.0,272.0,272.0,290.0,291.0,292.0,292.0,307.0,323.0,321.0,334.0,325.0,337.0,0.5,0.808,0.753,0.5,0.753,0.753,0.753,0.887,0.654,0.687,0.64,0.663,0.678,0.688,0.713,0.78,0.687,0.703,0.713,0.72,0.744,0.626,0.668,0.689,0.702,0.733,0.626,0.668,0.689,0.729,0.753,0.753,0.786,0.753,0.797,0.82,1,1,1,1,1,1,1,1,1
0.579,1,1180,610,142,2049,604,1083,1554,765,1891.0,1841.0,1846.0,1844.0,1746.0,1927.0,1877.0,1871.0,1739.0,1738.0,1879.0,1801.0,1904.0,1806.0,1904.0,1807.0,1904.0,1807.0,0.347,0.158,0.428,0.453,0.684,0.887,0.789,0.887,0.253,0.311,0.347,0.414,0.493,0.535,0.579,0.293,0.347,0.431,0.522,0.567,0.612,0.441,0.522,0.613,0.648,0.688,0.568,0.675,0.703,0.74,0.785,0.787,0.812,0.838,0.854,0.838,0,0,0,1,0,0,0,0,0
0.442,2,2157,1894,2609,103,791,918,820,565,1835.0,1964.0,1987.0,1849.0,1981.0,2002.0,2021.0,1856.0,1728.0,1664.0,1848.0,1739.0,1871.0,1746.0,1871.0,1746.0,1872.0,1746.0,0.5,0.101,0.2,0.2,0.5,0.5,0.753,0.783,0.301,0.267,0.25,0.3,0.334,0.393,0.442,0.151,0.167,0.25,0.3,0.376,0.434,0.2,0.3,0.35,0.431,0.489,0.35,0.4,0.488,0.547,0.5,0.584,0.634,0.626,0.678,0.768,0,0,0,1,0,0,1,0,0
0.523,3,1209,1957,1731,1073,1570,619,1248,1083,1837.0,1865.0,1750.0,1958.0,1557.0,1969.0,1668.0,1923.0,1287.0,1929.0,1532.0,1849.0,1557.0,1892.0,1557.0,1893.0,1557.0,1893.0,0.402,0.233,0.5,0.101,0.5,0.753,0.808,0.887,0.318,0.378,0.309,0.347,0.415,0.471,0.523,0.367,0.278,0.334,0.417,0.482,0.54,0.301,0.367,0.463,0.532,0.591,0.301,0.451,0.54,0.61,0.626,0.687,0.737,0.78,0.816,0.847,0,0,0,0,0,0,0,0,0
0.512,4,146,61,674,1716,2060,1829,576,1628,1650.0,1077.0,1082.0,1598.0,1220.0,1771.0,1190.0,1741.0,1194.0,1681.0,1242.0,1724.0,1273.0,1767.0,1272.0,1767.0,1272.0,1767.0,0.2,0.347,0.41,0.5,0.5,0.753,0.5,0.887,0.273,0.319,0.364,0.391,0.452,0.459,0.512,0.378,0.419,0.439,0.502,0.502,0.557,0.455,0.47,0.541,0.533,0.592,0.5,0.584,0.563,0.628,0.626,0.584,0.66,0.626,0.713,0.693,0,0,0,1,0,0,0,0,0
0.509,5,1596,957,1282,1911,116,1088,824,985,1888.0,1796.0,1906.0,1939.0,1955.0,1896.0,1881.0,1726.0,1863.0,1810.0,1982.0,1865.0,2005.0,1871.0,2005.0,1871.0,2006.0,1871.0,0.332,0.213,0.224,0.101,0.753,0.753,0.887,0.808,0.273,0.256,0.217,0.324,0.396,0.466,0.509,0.218,0.179,0.323,0.409,0.488,0.534,0.162,0.359,0.457,0.543,0.587,0.427,0.535,0.623,0.66,0.753,0.797,0.8,0.82,0.816,0.847,0,1,1,0,0,0,0,0,0
0.474,6,1366,125,51,508,1374,1879,1974,1121,1742.0,1780.0,1527.0,1961.0,1517.0,1900.0,1364.0,1767.0,1362.0,1780.0,1362.0,1723.0,1393.0,1761.0,1395.0,1763.0,1396.0,1762.0,0.224,0.338,0.293,0.5,0.2,0.5,0.929,0.808,0.281,0.285,0.339,0.311,0.343,0.426,0.474,0.316,0.377,0.333,0.366,0.46,0.51,0.397,0.331,0.373,0.484,0.538,0.35,0.4,0.532,0.587,0.35,0.543,0.609,0.714,0.745,0.868,0,0,0,1,0,0,0,0,0
0.514,7,2463,1695,1113,1539,1252,1534,448,1592,1777.0,1231.0,1146.0,1828.0,1164.0,1954.0,1226.0,1920.0,1453.0,1851.0,1408.0,1860.0,1437.0,1900.0,1438.0,1901.0,1438.0,1900.0,0.339,0.385,0.366,0.334,0.5,0.5,0.887,0.801,0.362,0.363,0.356,0.385,0.404,0.473,0.514,0.376,0.362,0.396,0.417,0.495,0.539,0.35,0.4,0.425,0.517,0.565,0.417,0.445,0.555,0.604,0.5,0.629,0.672,0.693,0.729,0.844,0,0,0,0,0,0,0,0,0
0.533,8,2413,2496,1563,85,655,1154,672,411,1827.0,1576.0,1563.0,1984.0,1577.0,2003.0,1506.0,1946.0,1545.0,1902.0,1488.0,1855.0,1517.0,1895.0,1517.0,1895.0,1518.0,1895.0,0.263,0.28,0.5,0.393,0.329,0.808,0.808,0.887,0.271,0.348,0.359,0.353,0.429,0.483,0.533,0.39,0.391,0.375,0.462,0.52,0.572,0.447,0.407,0.507,0.567,0.621,0.361,0.51,0.584,0.645,0.568,0.648,0.708,0.808,0.834,0.847,1,0,0,0,0,0,0,0,0
0.42,9,2379,1920,868,1939,1563,1593,2094,1466,1873.0,942.0,912.0,1794.0,846.0,1543.0,1329.0,1912.0,1146.0,1979.0,1421.0,1755.0,1619.0,1787.0,1619.0,1787.0,1620.0,1787.0,0.28,0.2,0.389,0.121,0.2,0.395,0.887,0.887,0.24,0.29,0.248,0.238,0.264,0.353,0.42,0.295,0.237,0.228,0.261,0.365,0.44,0.255,0.237,0.276,0.398,0.48,0.16,0.239,0.401,0.498,0.297,0.494,0.592,0.641,0.723,0.887,0,1,0,0,0,1,0,0,0
