full_trajectory_uncertainty,id_0,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,y0,x0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,p0_1,p1_2,p2_3,p3_4,p4_5,p5_6,p6_7,p7_8,p0-2,p0-3,p0-4,p0-5,p0-6,p0-7,p0-8,p1-3,p1-4,p1-5,p1-6,p1-7,p1-8,p2-4,p2-5,p2-6,p2-7,p2-8,p3-5,p3-6,p3-7,p3-8,p4-6,p4-7,p4-8,p5-7,p5-8,p6-8,nr_cells0,nr_cells1,nr_cells2,nr_cells3,nr_cells4,nr_cells5,nr_cells6,nr_cells7,nr_cells8
0.912,274,341,1,786,328,861,161,606,841,757.0,349.0,348.0,755.0,348.0,755.0,349.0,756.0,349.0,756.0,350.0,756.0,350.0,756.0,350.0,756.0,351.0,756.0,1.0,0.946,0.887,0.946,0.753,0.808,0.954,1.0,0.973,0.944,0.945,0.906,0.89,0.899,0.912,0.917,0.926,0.883,0.868,0.882,0.899,0.917,0.862,0.848,0.869,0.891,0.849,0.836,0.865,0.892,0.78,0.838,0.879,0.881,0.921,0.977,0,0,0,0,0,0,0,0,0
0.88,528,390,1689,161,1952,2318,1547,875,2177,754.0,300.0,301.0,758.0,302.0,758.0,303.0,758.0,303.0,758.0,303.0,758.0,304.0,758.0,304.0,758.0,305.0,758.0,0.887,0.887,1.0,0.808,0.808,0.946,0.816,0.887,0.887,0.925,0.895,0.878,0.889,0.879,0.88,0.943,0.898,0.876,0.89,0.877,0.879,0.904,0.872,0.89,0.875,0.877,0.808,0.854,0.844,0.853,0.877,0.857,0.864,0.881,0.883,0.851,0,0,0,0,0,0,0,0,0
0.862,969,809,1236,2036,1086,2247,1743,580,723,685.0,213.0,241.0,704.0,244.0,709.0,244.0,709.0,243.0,707.0,248.0,706.0,249.0,706.0,249.0,706.0,250.0,706.0,0.887,0.701,0.95,0.946,0.753,0.808,0.902,0.946,0.794,0.846,0.871,0.847,0.841,0.849,0.862,0.825,0.866,0.837,0.831,0.843,0.858,0.948,0.883,0.864,0.872,0.884,0.849,0.836,0.852,0.871,0.78,0.821,0.852,0.855,0.885,0.924,0,0,0,0,0,0,0,0,0
0.83,490,314,792,676,380,448,637,149,377,1960.0,907.0,909.0,1961.0,909.0,1960.0,910.0,1961.0,911.0,1961.0,911.0,1961.0,920.0,1960.0,914.0,1959.0,912.0,1961.0,0.808,1.0,0.808,0.766,0.946,0.808,0.753,0.753,0.904,0.872,0.845,0.866,0.856,0.841,0.83,0.904,0.858,0.88,0.866,0.847,0.833,0.787,0.84,0.832,0.816,0.806,0.856,0.84,0.818,0.805,0.877,0.836,0.815,0.78,0.771,0.753,1,1,1,1,1,1,1,1,1
0.827,1595,389,1143,29,488,27,1691,2157,9,778.0,158.0,194.0,799.0,195.0,799.0,196.0,799.0,196.0,799.0,196.0,800.0,197.0,799.0,197.0,799.0,198.0,799.0,0.753,0.753,0.753,0.887,0.753,0.887,0.946,0.887,0.753,0.753,0.786,0.779,0.797,0.819,0.827,0.753,0.797,0.786,0.806,0.83,0.838,0.82,0.797,0.82,0.845,0.852,0.82,0.842,0.868,0.872,0.82,0.862,0.868,0.917,0.907,0.917,0,0,0,0,0,0,0,0,0
0.823,2362,2370,712,979,1095,935,660,881,236,494.0,269.0,372.0,518.0,490.0,589.0,482.0,592.0,482.0,593.0,483.0,592.0,483.0,592.0,484.0,592.0,485.0,592.0,0.5,0.808,0.946,0.887,0.782,0.887,0.887,0.887,0.654,0.751,0.785,0.785,0.802,0.814,0.823,0.877,0.88,0.856,0.862,0.866,0.869,0.917,0.872,0.876,0.878,0.879,0.835,0.852,0.861,0.866,0.835,0.852,0.861,0.887,0.887,0.887,0,0,0,0,0,0,0,0,0
0.819,2562,364,1879,1757,746,1728,1911,1005,1450,588.0,62.0,132.0,602.0,156.0,604.0,162.0,605.0,161.0,603.0,165.0,597.0,165.0,597.0,166.0,597.0,166.0,597.0,0.808,0.5,0.887,0.887,0.753,0.946,0.887,0.887,0.654,0.731,0.77,0.767,0.797,0.81,0.819,0.693,0.758,0.757,0.794,0.81,0.821,0.887,0.842,0.868,0.872,0.874,0.82,0.862,0.868,0.872,0.849,0.862,0.868,0.917,0.907,0.887,0,0,0,0,0,0,0,0,0
0.817,2283,1067,1699,696,546,579,1830,1535,2057,455.0,541.0,680.0,508.0,714.0,564.0,714.0,564.0,715.0,564.0,716.0,564.0,716.0,564.0,717.0,564.0,717.0,564.0,0.753,0.753,0.887,1.0,0.808,0.565,0.771,0.998,0.753,0.797,0.848,0.84,0.794,0.791,0.817,0.82,0.88,0.862,0.802,0.797,0.826,0.943,0.898,0.815,0.806,0.838,0.904,0.791,0.786,0.828,0.686,0.715,0.785,0.668,0.778,0.885,0,0,0,0,0,0,0,0,0
0.816,661,240,1539,207,781,399,1336,433,795,625.0,164.0,213.0,634.0,231.0,630.0,238.0,628.0,237.0,628.0,238.0,627.0,238.0,627.0,238.0,627.0,239.0,627.0,0.5,0.986,0.753,0.887,0.753,0.954,0.808,0.887,0.743,0.746,0.781,0.776,0.805,0.806,0.816,0.87,0.875,0.845,0.866,0.857,0.861,0.82,0.797,0.836,0.831,0.84,0.82,0.864,0.85,0.858,0.853,0.838,0.85,0.881,0.883,0.847,0,0,0,0,0,0,0,0,0
0.807,1069,1498,2503,2037,1699,867,806,1524,2040,762.0,261.0,269.0,781.0,290.0,827.0,310.0,833.0,314.0,834.0,314.0,834.0,315.0,833.0,316.0,833.0,316.0,833.0,0.994,0.808,0.753,0.994,0.5,0.808,0.818,0.782,0.901,0.851,0.887,0.81,0.809,0.811,0.807,0.78,0.851,0.763,0.772,0.78,0.78,0.873,0.749,0.763,0.774,0.776,0.747,0.767,0.78,0.78,0.654,0.709,0.727,0.813,0.803,0.8,0,0,0,0,0,0,0,0,0
