full_trajectory_uncertainty,id_0,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,y0,x0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,p0_1,p1_2,p2_3,p3_4,p4_5,p5_6,p6_7,p7_8,p0-2,p0-3,p0-4,p0-5,p0-6,p0-7,p0-8,p1-3,p1-4,p1-5,p1-6,p1-7,p1-8,p2-4,p2-5,p2-6,p2-7,p2-8,p3-5,p3-6,p3-7,p3-8,p4-6,p4-7,p4-8,p5-7,p5-8,p6-8,nr_cells0,nr_cells1,nr_cells2,nr_cells3,nr_cells4,nr_cells5,nr_cells6,nr_cells7,nr_cells8
0.585,0,1,0,0,236,1,0,0,0,1095.0,730.0,810.0,1117.0,840.0,1094.0,864.0,1125.0,931.0,1161.0,964.0,1191.0,984.0,1193.0,1007.0,1208.0,1008.0,1208.0,0.28,0.887,0.5,0.753,0.887,0.373,0.5,0.5,0.583,0.556,0.605,0.661,0.613,0.597,0.585,0.693,0.713,0.757,0.68,0.65,0.628,0.626,0.713,0.628,0.602,0.585,0.82,0.671,0.628,0.602,0.63,0.587,0.565,0.437,0.458,0.5,0,0,0,0,0,0,0,0,0
0.828,1,0,1,251,505,0,1601,2,1,1189.0,1338.0,1330.0,1194.0,1331.0,1194.0,1331.0,1194.0,1329.0,1203.0,1347.0,1217.0,1424.0,1282.0,1443.0,1334.0,1446.0,1337.0,0.887,0.953,0.946,0.939,0.753,0.5,0.762,0.887,0.92,0.929,0.931,0.895,0.83,0.82,0.828,0.95,0.946,0.898,0.818,0.809,0.82,0.942,0.879,0.784,0.78,0.798,0.846,0.73,0.738,0.768,0.626,0.671,0.725,0.631,0.716,0.824,1,1,1,1,1,1,1,1,1
0.797,2,85,3,302,506,16,13,1477,92,470.0,1689.0,1693.0,466.0,1698.0,464.0,1698.0,464.0,1712.0,463.0,1726.0,462.0,1754.0,481.0,1758.0,489.0,1750.0,492.0,0.887,1.0,0.946,0.808,0.986,0.753,0.5,0.5,0.943,0.944,0.91,0.925,0.897,0.84,0.797,0.973,0.918,0.935,0.899,0.832,0.785,0.877,0.913,0.873,0.799,0.749,0.897,0.849,0.762,0.709,0.87,0.746,0.685,0.626,0.584,0.5,2,2,2,3,3,1,1,1,1
0.659,3,638,286,688,1144,147,566,1577,1898,1998.0,1657.0,1657.0,1997.0,1658.0,1997.0,1659.0,1997.0,1659.0,1998.0,1662.0,2000.0,1677.0,2000.0,1683.0,2005.0,1683.0,2005.0,0.5,0.946,0.753,0.753,0.753,0.403,0.5,0.663,0.723,0.733,0.738,0.741,0.685,0.658,0.659,0.849,0.817,0.801,0.721,0.685,0.681,0.753,0.753,0.665,0.632,0.637,0.753,0.636,0.602,0.614,0.578,0.552,0.58,0.452,0.522,0.581,2,2,1,1,1,1,1,1,2
0.385,4,114,2561,53,426,2717,1173,931,1845,1738.0,281.0,129.0,1357.0,55.0,1373.0,192.0,1623.0,252.0,1860.0,30.0,1773.0,78.0,1863.0,87.0,1904.0,88.0,1923.0,0.2,0.269,0.5,0.258,0.101,0.5,0.753,0.5,0.235,0.323,0.307,0.266,0.305,0.369,0.385,0.385,0.343,0.282,0.326,0.397,0.412,0.379,0.286,0.34,0.422,0.435,0.18,0.286,0.403,0.422,0.301,0.451,0.463,0.626,0.584,0.626,0,0,1,1,2,0,0,0,0
0.408,5,2092,437,169,2355,612,175,1778,2344,1965.0,667.0,654.0,1992.0,684.0,1883.0,672.0,1872.0,740.0,1978.0,859.0,1974.0,985.0,1635.0,1006.0,1692.0,1013.0,1710.0,0.5,0.152,0.253,0.4,0.5,0.209,0.5,0.753,0.326,0.302,0.326,0.361,0.336,0.359,0.408,0.202,0.268,0.326,0.303,0.336,0.395,0.326,0.384,0.34,0.372,0.436,0.45,0.37,0.402,0.472,0.354,0.403,0.49,0.354,0.487,0.626,0,0,0,1,1,0,0,0,0
0.439,6,909,482,968,1354,129,1041,2435,1122,1533.0,603.0,764.0,1683.0,715.0,1859.0,357.0,1549.0,316.0,1662.0,367.0,1842.0,415.0,1933.0,424.0,1972.0,425.0,2000.0,0.145,0.144,0.279,0.389,0.418,0.5,0.753,0.887,0.144,0.189,0.239,0.275,0.312,0.375,0.439,0.211,0.271,0.307,0.346,0.414,0.481,0.334,0.362,0.396,0.468,0.537,0.403,0.436,0.515,0.589,0.459,0.557,0.639,0.626,0.713,0.82,0,0,0,0,0,0,0,0,0
0.56,7,1691,1695,1072,1502,2582,1855,253,1754,1850.0,252.0,266.0,1813.0,46.0,1817.0,117.0,1795.0,241.0,1638.0,291.0,1818.0,339.0,1909.0,348.0,1947.0,347.0,1976.0,0.206,0.321,0.331,0.424,0.808,0.753,0.887,0.753,0.264,0.286,0.321,0.418,0.474,0.533,0.56,0.326,0.359,0.471,0.527,0.587,0.611,0.378,0.521,0.579,0.641,0.659,0.616,0.662,0.718,0.725,0.78,0.816,0.8,0.82,0.797,0.82,1,0,0,1,0,0,0,0,0
0.436,8,1062,1965,643,187,617,1934,95,2181,1956.0,1006.0,1086.0,1864.0,1129.0,1729.0,1200.0,1854.0,1281.0,1977.0,1479.0,2007.0,1642.0,1866.0,1649.0,1878.0,1655.0,1881.0,0.173,0.329,0.753,0.327,0.321,0.2,0.5,0.887,0.251,0.418,0.395,0.381,0.35,0.372,0.436,0.541,0.469,0.432,0.386,0.405,0.474,0.54,0.467,0.4,0.42,0.498,0.324,0.283,0.337,0.447,0.261,0.34,0.477,0.35,0.529,0.693,1,0,0,0,0,0,0,0,0
0.452,9,643,2258,2316,1744,1625,1633,814,2075,1721.0,85.0,193.0,1931.0,163.0,1954.0,241.0,1892.0,193.0,1916.0,68.0,1785.0,116.0,1875.0,125.0,1916.0,127.0,1935.0,0.5,0.383,0.224,0.353,0.342,0.2,0.808,0.808,0.441,0.369,0.365,0.361,0.334,0.401,0.452,0.303,0.32,0.326,0.301,0.385,0.445,0.289,0.307,0.28,0.386,0.456,0.348,0.299,0.426,0.502,0.271,0.45,0.539,0.504,0.605,0.808,0,0,0,0,0,0,0,0,0
