full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.617,914,914,3503,3503,160.012,488.78,156.797,489.48,148.082,437.43,149.561,435.025,0.832,0.113,0.905,0.473,0.617,0.509,0,0,0,0
0.602,2594,2260,2260,2260,483.903,217.73,486.176,241.136,485.393,241.155,485.393,241.155,0.103,0.834,0.868,0.469,0.602,0.851,0,0,0,0
0.594,1304,1304,1304,5416,12.166,245.612,15.792,238.192,15.671,238.049,23.41,261.027,0.843,0.832,0.107,0.837,0.594,0.469,0,0,0,0
0.584,2887,2887,2887,3938,169.827,18.458,168.641,18.16,171.476,12.81,176.342,26.787,0.851,0.797,0.104,0.824,0.584,0.451,0,0,0,0
0.583,3144,3144,5919,5919,12.19,451.48,10.175,451.81,32.261,468.442,32.382,468.827,0.824,0.065,0.86,0.445,0.583,0.462,0,0,0,0
0.581,5358,3342,3342,3342,12.625,278.246,13.736,274.518,13.836,274.472,14.08,274.007,0.077,0.861,0.804,0.469,0.581,0.832,0,0,0,0
0.57,148,4732,4732,4732,336.773,10.786,292.423,36.406,294.07,37.084,296.694,37.825,0.063,0.853,0.794,0.458,0.57,0.823,1,1,1,1
0.568,3069,3069,1586,1586,142.571,17.721,143.355,13.76,203.578,10.484,225.625,10.687,0.858,0.356,0.489,0.607,0.568,0.423,1,1,1,1
0.568,2436,2436,1296,1296,92.177,23.336,87.036,15.288,78.586,52.972,78.259,53.849,0.834,0.116,0.753,0.475,0.568,0.434,0,0,0,0
0.567,1123,1123,5189,5189,10.679,105.002,10.679,105.002,11.536,124.947,10.123,125.392,0.888,0.059,0.755,0.473,0.567,0.407,0,0,0,0
0.567,13,13,3391,3391,103.883,12.113,106.137,12.714,115.348,29.232,118.658,23.569,0.784,0.125,0.791,0.454,0.567,0.458,1,1,1,1
0.566,4465,4465,4465,5994,25.447,10.372,25.447,10.372,25.053,10.068,16.68,10.082,0.834,0.784,0.081,0.809,0.566,0.432,0,0,0,0
0.564,4469,4469,4469,4226,219.643,19.615,219.643,19.615,219.643,19.615,199.125,10.289,0.777,0.732,0.183,0.754,0.564,0.457,0,0,0,0
0.562,764,764,764,577,172.409,30.866,172.659,25.81,168.377,22.919,224.681,57.532,0.801,0.742,0.142,0.772,0.562,0.442,0,0,0,0
0.561,2677,2226,2226,2226,489.138,34.578,486.891,48.475,487.162,48.258,486.57,47.484,0.077,0.841,0.763,0.459,0.561,0.802,0,1,1,1
0.561,3216,2226,2226,2226,485.024,79.839,486.891,48.475,487.162,48.258,486.57,47.484,0.079,0.841,0.763,0.46,0.561,0.802,0,1,1,1
0.56,1153,1153,1153,5449,10.155,252.601,13.834,243.652,13.752,243.522,43.472,305.839,0.791,0.859,0.029,0.825,0.56,0.444,0,0,0,1
0.558,5952,5952,5952,465,58.978,21.571,54.92,18.882,43.006,13.099,52.101,18.821,0.848,0.729,0.098,0.788,0.558,0.414,0,0,0,0
0.557,927,1564,1564,1564,488.474,106.644,460.318,112.808,462.51,115.206,462.51,115.206,0.062,0.845,0.764,0.454,0.557,0.805,0,0,0,0
0.554,1238,1238,1238,486,166.61,28.926,166.941,26.748,162.753,19.894,148.392,12.757,0.811,0.774,0.078,0.793,0.554,0.426,0,0,0,2
0.554,5458,632,632,632,489.714,28.814,432.659,10.924,432.985,10.515,432.5,10.149,0.067,0.846,0.749,0.457,0.554,0.798,0,0,0,0
0.553,3300,3300,1431,1431,487.542,13.227,486.673,11.352,475.671,13.306,476.118,12.959,0.746,0.097,0.815,0.422,0.553,0.456,0,0,1,1
0.549,1589,4166,4166,4166,489.354,255.408,489.238,266.284,489.169,266.317,489.169,266.317,0.09,0.791,0.766,0.441,0.549,0.779,0,0,0,0
0.547,727,727,4788,4788,140.54,12.289,139.576,10.865,136.304,21.74,127.8,17.925,0.893,0.104,0.642,0.499,0.547,0.373,0,0,0,0
0.546,2488,1690,1690,1690,461.167,12.161,434.701,25.374,432.589,26.641,432.423,25.969,0.037,0.804,0.798,0.421,0.546,0.801,0,0,0,0
0.545,1580,1580,1580,3728,257.922,13.512,256.339,10.21,256.27,10.09,265.317,38.857,0.787,0.732,0.116,0.759,0.545,0.424,0,0,0,0
0.543,4999,50,50,50,489.669,218.816,486.159,229.527,485.261,231.195,485.261,231.195,0.103,0.708,0.819,0.406,0.543,0.764,0,0,0,0
0.543,227,2226,2226,2226,482.344,10.653,486.891,48.475,487.162,48.258,486.57,47.484,0.025,0.841,0.763,0.433,0.543,0.802,0,1,1,1
0.543,5267,5267,5267,727,194.824,15.883,195.107,15.911,198.971,14.007,158.065,10.246,0.789,0.727,0.113,0.758,0.543,0.42,0,0,0,0
0.541,4874,4874,3219,3219,133.791,12.972,133.791,12.972,112.16,23.894,113.03,18.88,0.819,0.067,0.738,0.443,0.541,0.402,0,0,0,0
0.539,2711,2711,2788,2788,84.718,16.047,83.461,10.72,72.021,13.952,68.096,11.093,0.709,0.054,0.855,0.381,0.539,0.454,0,0,0,0
0.533,5529,3882,3882,3882,484.005,253.165,480.784,244.582,480.86,244.774,480.86,244.774,0.021,0.846,0.73,0.434,0.533,0.788,0,0,0,0
