full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.947,2891,2891,2891,2891,33.22,479.642,33.22,479.642,33.22,479.641,33.226,479.566,1.0,1.0,0.842,1.0,0.947,0.921,0,0,0,0
0.924,1585,1585,1585,1585,14.652,346.753,17.377,345.161,25.588,342.619,25.542,342.546,0.895,0.953,0.923,0.924,0.924,0.938,1,1,1,1
0.921,4578,4578,4578,4578,417.284,59.91,417.173,59.958,412.217,57.795,409.49,53.323,0.964,0.91,0.89,0.937,0.921,0.9,0,0,0,0
0.913,1626,1626,1626,1626,392.132,396.556,390.642,395.863,390.145,395.538,392.672,400.542,0.871,0.964,0.903,0.917,0.913,0.933,0,0,0,0
0.91,3102,3102,3102,3102,382.883,20.731,382.899,20.732,383.449,20.666,383.402,20.754,0.966,0.892,0.872,0.929,0.91,0.882,0,0,0,0
0.908,5175,5175,5175,5175,273.073,23.128,272.73,22.842,273.197,22.998,273.694,23.056,0.91,0.929,0.884,0.92,0.908,0.906,0,0,0,0
0.903,2877,2877,2877,2877,368.916,459.688,368.235,458.326,368.235,458.326,368.235,458.326,0.962,0.855,0.892,0.909,0.903,0.874,0,0,0,0
0.902,855,855,855,855,385.058,249.366,387.195,249.616,390.798,256.371,400.409,261.854,0.876,0.951,0.878,0.913,0.902,0.915,1,1,1,1
0.901,2968,2968,2968,2968,458.91,351.528,458.91,351.528,458.37,351.552,458.362,351.548,0.951,0.898,0.856,0.924,0.901,0.877,0,0,0,0
0.898,2560,2560,2560,2560,394.085,348.829,391.287,349.559,388.335,347.962,385.758,340.623,0.856,0.943,0.894,0.9,0.898,0.918,1,1,1,1
0.894,1702,1702,1702,1702,458.198,413.837,458.198,413.837,458.198,413.837,458.198,413.837,0.898,0.902,0.882,0.9,0.894,0.892,0,0,0,0
0.892,509,509,509,509,175.312,53.113,171.558,54.963,166.927,52.489,165.998,62.694,0.969,0.897,0.81,0.933,0.892,0.854,0,0,0,0
0.889,5357,5357,5357,5357,457.075,457.716,457.075,457.716,457.075,457.716,457.075,457.716,0.874,0.84,0.953,0.857,0.889,0.896,0,0,0,0
0.889,4353,4353,4353,4353,19.716,173.637,21.393,173.16,21.809,173.521,19.133,173.584,0.818,0.896,0.954,0.857,0.889,0.925,0,0,0,0
0.888,539,539,539,539,38.897,480.83,38.897,480.83,38.892,480.852,38.598,481.764,0.9,0.926,0.84,0.913,0.888,0.883,0,0,0,0
0.888,4911,4911,4911,4911,207.287,474.822,208.112,475.665,207.254,478.856,207.151,477.531,0.943,0.914,0.808,0.929,0.888,0.861,0,0,0,0
0.886,4972,4972,4972,4972,408.496,465.198,408.496,465.198,408.496,465.198,408.496,465.198,0.93,0.839,0.89,0.884,0.886,0.865,0,0,0,0
0.886,2537,2537,2537,2537,369.292,393.434,367.747,392.455,366.638,391.679,366.638,391.679,0.892,0.882,0.885,0.887,0.886,0.884,0,0,0,0
0.885,4444,4444,4444,4444,474.476,300.17,474.943,304.179,474.943,304.179,474.943,304.179,0.896,0.883,0.877,0.89,0.885,0.88,0,0,0,0
0.883,1391,1391,1391,1391,478.067,379.444,478.067,379.444,478.011,381.329,478.026,381.333,0.863,0.946,0.838,0.905,0.883,0.892,2,2,2,2
0.883,2359,2359,2359,2359,481.78,313.137,482.47,313.883,482.535,314.061,482.535,314.061,0.862,0.909,0.876,0.886,0.883,0.893,0,0,0,0
0.882,2529,2529,2529,2529,440.649,205.472,438.026,203.278,433.43,202.8,434.743,206.4,0.9,0.937,0.81,0.919,0.882,0.873,1,1,1,1
0.88,5023,5023,5023,5023,32.179,207.211,34.841,207.898,37.26,206.918,42.712,200.505,0.873,0.948,0.819,0.91,0.88,0.883,2,2,2,2
0.879,3362,3362,3362,3362,22.512,118.048,22.512,118.048,16.401,121.698,15.022,122.288,0.878,0.847,0.912,0.863,0.879,0.88,1,1,1,1
0.879,3871,3871,3871,3871,31.322,23.366,31.116,23.398,29.708,23.416,29.725,23.484,0.931,0.825,0.88,0.878,0.879,0.853,0,0,0,0
0.878,4901,4901,4901,4901,354.352,378.981,352.925,378.309,351.824,376.933,351.824,376.933,0.934,0.755,0.946,0.844,0.878,0.851,0,0,0,0
0.877,5540,5540,5540,5540,68.666,472.386,71.796,475.901,72.568,476.682,72.106,479.452,0.842,0.91,0.878,0.876,0.877,0.894,0,0,0,0
0.877,3849,3849,3849,3849,348.213,400.529,348.753,401.431,348.174,400.633,349.749,400.25,0.988,0.776,0.867,0.882,0.877,0.822,0,0,0,0
0.875,5221,5221,5221,5221,374.919,449.559,374.037,448.176,374.037,448.176,374.037,448.176,0.936,0.83,0.857,0.883,0.875,0.844,0,0,0,0
0.874,5282,5282,5282,5282,308.133,234.458,327.411,228.002,323.062,238.124,316.734,233.654,0.835,0.884,0.903,0.86,0.874,0.894,1,1,1,1
0.873,1001,1001,1001,1001,412.764,395.523,411.166,395.193,411.074,395.154,411.074,395.154,0.834,0.881,0.903,0.857,0.873,0.892,0,0,0,0
0.872,5823,5823,5823,5823,479.484,95.464,482.159,99.569,482.121,99.507,483.742,100.29,0.827,0.838,0.952,0.833,0.872,0.895,0,0,0,0
0.872,4683,4683,4683,4683,459.547,296.52,457.315,295.046,457.315,295.046,457.315,295.046,0.815,0.906,0.894,0.86,0.872,0.9,0,0,0,0
0.872,1065,1065,1065,1065,414.063,407.194,412.639,406.532,412.639,406.532,412.639,406.532,0.819,0.903,0.895,0.861,0.872,0.899,0,0,0,0
0.871,4106,4106,4106,4106,316.888,32.128,316.962,25.896,316.785,25.628,316.751,26.443,0.808,0.936,0.869,0.872,0.871,0.903,0,0,0,0
0.871,4429,4429,4429,4429,424.18,487.789,424.18,487.789,424.18,487.789,424.18,487.789,0.914,0.86,0.838,0.887,0.871,0.849,1,1,1,1
0.871,4815,4815,4815,4815,476.402,355.863,476.402,355.863,476.402,355.863,476.402,355.863,0.87,0.825,0.918,0.848,0.871,0.872,0,0,0,0
0.87,5514,5514,5514,5514,287.015,397.323,298.788,400.23,300.146,400.288,298.332,401.909,0.833,0.881,0.897,0.857,0.87,0.889,0,0,0,0
0.87,3500,3500,3500,3500,363.895,77.726,363.797,80.606,363.775,81.391,365.399,77.151,0.883,0.861,0.865,0.872,0.87,0.863,0,0,0,0
0.87,579,579,579,579,487.468,375.503,487.468,375.503,487.817,376.022,487.818,376.023,0.837,0.858,0.916,0.848,0.87,0.887,3,3,3,3
0.87,2025,2025,2025,2025,357.891,142.578,354.736,150.209,361.94,154.516,348.267,145.795,0.903,0.9,0.808,0.901,0.87,0.854,0,0,0,0
0.869,3796,3796,3796,3796,449.145,357.105,448.708,357.105,448.565,356.961,448.549,356.944,0.808,0.939,0.86,0.873,0.869,0.899,1,1,1,1
0.869,2580,2580,2580,2580,302.193,338.949,294.516,340.436,296.983,343.082,300.097,347.555,0.895,0.822,0.888,0.859,0.869,0.855,2,2,2,2
0.869,5662,5662,5662,5662,43.457,24.684,41.304,26.37,39.611,27.606,39.455,26.451,0.89,0.844,0.872,0.867,0.869,0.858,0,0,0,0
0.868,1890,1890,1890,1890,338.565,35.892,342.044,34.208,342.541,34.498,335.909,34.913,0.866,0.847,0.89,0.857,0.868,0.869,0,0,0,0
0.867,340,340,340,340,245.785,426.637,247.53,428.658,247.742,424.725,248.615,423.669,0.849,0.911,0.843,0.88,0.867,0.877,2,2,2,2
0.867,2259,2259,2259,2259,208.802,469.229,208.305,464.483,214.954,467.906,214.423,466.746,0.832,0.768,1.0,0.8,0.867,0.884,0,0,0,0
0.867,4906,4906,4906,4906,468.153,31.498,466.337,27.704,469.596,23.146,470.101,22.825,0.744,0.921,0.936,0.832,0.867,0.929,0,0,0,0
0.867,1813,1813,1813,1813,266.096,441.199,266.466,440.911,263.346,441.19,261.833,439.535,0.826,0.889,0.886,0.857,0.867,0.887,0,0,0,0
0.866,1749,1749,1749,1749,254.601,18.384,253.986,18.229,253.986,18.229,250.851,14.192,0.926,0.848,0.824,0.887,0.866,0.836,0,0,0,0
0.866,4794,4794,4794,4794,422.45,453.597,422.45,453.597,422.45,453.597,422.45,453.597,0.845,0.844,0.908,0.844,0.866,0.876,0,0,0,0
0.866,16,16,16,16,331.771,453.5,331.297,452.342,331.201,452.015,331.201,452.015,0.938,0.948,0.712,0.943,0.866,0.83,1,1,1,1
0.865,5897,5897,5897,5897,484.588,430.667,484.588,430.667,484.58,430.672,484.58,430.672,0.805,0.837,0.954,0.821,0.865,0.895,1,1,1,1
0.865,291,291,291,291,476.63,155.184,476.63,155.184,475.626,155.085,475.626,155.085,0.88,0.95,0.765,0.915,0.865,0.857,2,2,2,2
0.864,5537,5537,5537,5537,19.459,19.726,19.459,19.726,19.451,19.734,19.402,19.787,0.876,0.886,0.828,0.881,0.864,0.857,0,0,0,0
0.864,931,931,931,931,63.874,42.897,60.48,37.607,60.368,36.552,60.339,35.101,0.851,0.866,0.876,0.859,0.864,0.871,0,0,0,0
0.864,3423,3423,3423,3423,29.048,159.792,29.132,158.456,28.348,158.321,24.448,155.968,0.907,0.819,0.868,0.863,0.864,0.843,0,0,0,0
0.864,4771,4771,4771,4771,472.986,34.756,478.055,31.014,483.6,31.009,484.555,31.302,0.83,0.872,0.89,0.851,0.864,0.881,0,0,0,0
0.864,5077,5077,5077,5077,483.446,321.35,483.179,322.097,483.138,322.144,483.138,322.144,0.968,0.826,0.798,0.897,0.864,0.812,0,0,0,0
0.863,5325,5325,5325,5325,25.412,295.934,20.106,292.189,14.598,293.164,13.001,292.16,0.814,0.817,0.957,0.816,0.863,0.887,0,0,0,0
0.863,4984,4984,4984,4984,255.98,481.181,256.018,481.113,256.056,481.056,256.534,480.174,0.792,0.922,0.876,0.857,0.863,0.899,1,1,1,1
0.862,4426,4426,4426,4426,308.623,477.273,308.72,476.139,308.72,476.139,308.72,476.139,0.824,0.892,0.87,0.858,0.862,0.881,0,0,0,0
0.862,3860,3860,3860,3860,39.362,142.63,39.167,142.394,40.783,144.298,39.768,142.381,0.903,0.822,0.861,0.863,0.862,0.842,0,0,0,0
0.862,2460,2460,2460,2460,390.883,402.33,389.443,401.538,389.01,401.25,387.086,402.143,0.909,0.79,0.888,0.85,0.862,0.839,0,0,0,0
0.862,945,945,945,945,393.082,257.388,391.008,257.597,392.87,262.074,407.185,265.897,0.902,0.874,0.81,0.888,0.862,0.842,0,0,0,0
0.861,3544,3544,3544,3544,42.553,313.159,39.698,310.765,35.864,311.681,38.309,309.161,0.91,0.743,0.928,0.827,0.861,0.836,0,0,0,0
0.861,4628,4628,4628,4628,28.79,146.454,28.79,146.454,29.587,147.13,29.65,147.093,0.899,0.781,0.904,0.84,0.861,0.843,0,0,0,0
0.861,5867,5867,5867,5867,14.486,179.569,16.768,176.659,16.826,176.488,17.198,179.052,0.832,0.871,0.879,0.852,0.861,0.875,0,0,0,0
0.86,5971,5971,5971,5971,479.97,278.221,480.202,279.328,480.208,279.35,480.208,279.35,0.826,0.977,0.777,0.902,0.86,0.877,1,1,1,1
0.86,1462,1462,1462,1462,370.032,472.896,369.662,472.143,369.662,472.143,369.662,472.143,0.886,0.943,0.75,0.914,0.86,0.847,0,0,0,0
0.86,533,533,533,533,441.408,373.156,440.597,373.06,440.597,373.06,440.597,373.06,0.886,0.918,0.776,0.902,0.86,0.847,1,1,1,1
0.86,2903,2903,2903,2903,156.903,465.872,151.084,471.086,150.218,471.201,150.67,469.933,0.873,0.838,0.868,0.856,0.86,0.853,0,0,0,0
0.86,4525,4525,4525,4525,479.99,118.98,476.594,119.835,475.673,120.036,475.673,120.036,0.838,0.866,0.876,0.852,0.86,0.871,0,0,0,0
0.86,811,811,811,811,424.329,14.149,422.541,15.034,421.785,14.546,420.853,14.59,0.961,0.799,0.819,0.88,0.86,0.809,0,0,0,0
0.859,4814,4814,4814,4814,201.372,350.987,198.969,349.207,200.649,347.224,193.365,339.486,0.855,0.881,0.84,0.868,0.859,0.861,2,2,2,2
