full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.701,0,0,0,0,460.45,199.622,457.043,196.722,461.612,191.796,461.561,193.178,0.632,0.562,0.911,0.597,0.701,0.736,0,0,0,0
0.645,1,1,1,1,415.085,258.57,413.979,255.814,414.047,257.208,412.779,252.673,0.55,0.676,0.71,0.613,0.645,0.693,0,0,0,0
0.669,2,2,2,2,234.467,203.775,230.318,233.53,221.526,258.831,205.745,247.125,0.595,0.623,0.789,0.609,0.669,0.706,1,1,1,1
0.816,3,3,3,3,254.623,456.782,255.305,455.788,258.162,456.829,257.933,455.792,0.702,0.839,0.906,0.771,0.816,0.873,1,1,1,1
0.821,4,4,4,4,482.194,469.915,482.194,469.915,482.194,469.915,482.194,469.915,0.807,0.797,0.86,0.802,0.821,0.828,0,0,0,0
0.677,5,5,5,5,405.461,480.62,405.461,480.62,405.461,480.62,405.461,480.62,0.655,0.684,0.691,0.67,0.677,0.687,0,0,0,0
0.669,6,6,6,6,141.994,207.295,125.563,215.732,107.132,214.072,107.469,223.893,0.712,0.617,0.678,0.665,0.669,0.648,0,0,0,0
0.706,7,7,7,7,401.037,144.384,398.334,144.831,398.026,140.357,391.587,138.458,0.814,0.812,0.493,0.813,0.706,0.652,0,0,0,0
0.768,8,8,8,8,484.475,160.557,484.475,160.557,483.832,160.467,483.832,160.467,0.756,0.887,0.661,0.822,0.768,0.774,1,1,1,1
0.558,9,9,9,9,228.787,449.379,229.731,448.995,233.503,451.156,235.221,450.857,0.696,0.502,0.476,0.599,0.558,0.489,0,0,0,0
0.681,10,10,10,10,134.764,229.655,117.127,244.894,118.336,243.545,128.555,241.383,0.575,0.715,0.753,0.645,0.681,0.734,0,0,0,0
0.726,11,11,11,11,474.886,19.918,476.16,19.737,483.094,21.042,484.727,20.225,0.881,0.755,0.542,0.818,0.726,0.649,1,1,1,1
0.738,12,12,12,12,306.844,439.37,307.126,437.745,307.033,436.941,307.033,436.941,0.773,0.819,0.621,0.796,0.738,0.72,0,0,0,0
0.567,13,13,3391,3391,103.883,12.113,106.137,12.714,115.348,29.232,118.658,23.569,0.784,0.125,0.791,0.454,0.567,0.458,1,1,1,1
0.708,14,14,14,14,237.387,171.976,228.778,170.771,222.969,172.387,225.238,183.559,0.64,0.716,0.77,0.678,0.708,0.743,0,0,0,0
0.622,15,15,15,15,433.474,171.858,436.755,170.458,443.699,164.23,448.888,165.084,0.586,0.764,0.516,0.675,0.622,0.64,0,0,0,0
0.866,16,16,16,16,331.771,453.5,331.297,452.342,331.201,452.015,331.201,452.015,0.938,0.948,0.712,0.943,0.866,0.83,1,1,1,1
0.707,17,17,17,17,107.233,164.544,114.355,174.293,111.742,160.358,111.639,147.371,0.694,0.725,0.701,0.709,0.707,0.713,0,0,0,0
0.694,18,18,18,18,337.761,309.653,330.632,315.906,330.954,320.283,334.899,320.98,0.514,0.78,0.788,0.647,0.694,0.784,0,0,0,0
0.786,19,19,19,19,84.414,306.602,84.861,307.796,87.863,306.984,92.505,305.311,0.832,0.753,0.771,0.793,0.786,0.762,0,0,0,0
0.71,20,20,20,20,397.957,396.06,396.441,395.422,396.037,395.201,396.037,395.201,0.755,0.762,0.611,0.759,0.71,0.687,0,0,0,0
0.708,21,21,21,21,364.111,316.518,363.616,320.003,362.527,317.755,362.084,309.754,0.716,0.639,0.769,0.677,0.708,0.704,0,0,0,0
0.631,22,22,22,22,68.653,281.5,68.785,281.577,76.551,285.88,81.068,280.157,0.63,0.516,0.747,0.573,0.631,0.631,0,0,0,0
0.664,23,23,23,23,472.325,435.378,472.325,435.378,472.325,435.378,472.325,435.378,0.602,0.673,0.716,0.637,0.664,0.695,0,0,0,0
0.783,24,24,24,24,82.266,407.862,82.266,407.862,80.717,409.935,80.746,409.928,0.871,0.684,0.794,0.777,0.783,0.739,0,0,0,0
0.801,25,25,25,25,472.52,328.723,473.164,331.52,473.17,331.527,473.17,331.528,0.853,0.713,0.835,0.783,0.801,0.774,1,1,1,1
0.727,26,26,26,26,167.602,90.877,170.707,94.476,167.83,96.214,164.709,88.466,0.747,0.684,0.751,0.716,0.727,0.718,0,0,0,0
0.727,27,27,27,27,213.29,331.523,212.673,325.881,208.568,310.805,210.538,304.12,0.769,0.69,0.72,0.73,0.727,0.705,0,0,0,0
0.622,28,28,28,28,370.996,249.899,378.863,256.672,380.778,260.086,384.662,268.512,0.683,0.501,0.683,0.592,0.622,0.592,0,0,0,0
0.71,29,29,29,29,86.8,245.049,83.515,245.476,74.498,237.508,80.34,241.441,0.713,0.724,0.694,0.719,0.71,0.709,0,0,0,0
0.651,30,30,30,30,33.952,167.345,30.657,169.792,30.192,169.564,19.573,167.94,0.634,0.707,0.611,0.671,0.651,0.659,0,0,0,0
0.792,31,31,31,31,205.17,434.739,205.972,436.461,206.486,434.497,203.807,437.047,0.883,0.757,0.737,0.82,0.792,0.747,0,0,0,0
0.771,32,32,32,32,252.565,260.714,234.661,279.687,228.491,291.221,225.901,296.824,0.758,0.736,0.819,0.747,0.771,0.777,0,0,0,0
0.629,33,33,33,33,18.279,159.97,18.305,159.659,21.327,160.792,22.102,161.562,0.47,0.721,0.698,0.595,0.629,0.709,0,0,0,0
0.676,34,34,34,34,240.466,424.34,241.638,425.204,240.467,423.711,237.703,423.156,0.69,0.64,0.699,0.665,0.676,0.67,0,0,0,0
0.727,35,35,35,35,388.742,157.155,396.551,158.459,416.283,153.184,423.879,144.937,0.782,0.592,0.807,0.687,0.727,0.699,0,0,0,0
0.729,36,36,36,36,161.834,91.063,160.758,85.74,162.034,78.484,170.046,86.477,0.812,0.719,0.657,0.765,0.729,0.688,0,0,0,0
0.578,37,37,37,37,15.579,416.829,16.329,422.288,15.567,422.22,15.567,422.22,0.552,0.591,0.591,0.571,0.578,0.591,0,0,0,0
0.646,38,38,38,38,388.803,199.315,388.911,208.175,388.755,208.993,383.63,212.945,0.51,0.725,0.705,0.617,0.646,0.715,0,0,0,0
0.673,39,39,39,39,297.956,278.404,294.022,272.005,291.738,270.803,292.699,268.766,0.485,0.759,0.776,0.622,0.673,0.768,0,0,0,0
0.586,40,40,40,40,232.815,416.289,230.413,415.698,222.703,413.299,227.002,402.493,0.562,0.671,0.524,0.617,0.586,0.597,0,0,0,0
0.694,41,41,41,41,433.295,316.324,437.738,313.277,441.184,312.177,441.82,311.786,0.577,0.729,0.776,0.653,0.694,0.753,0,0,0,0
0.655,42,42,42,42,207.331,452.495,215.762,449.86,224.474,445.291,226.051,443.419,0.592,0.792,0.58,0.692,0.655,0.686,1,1,1,1
0.647,44,44,44,44,334.112,85.976,333.917,89.764,328.772,94.396,320.716,97.079,0.592,0.677,0.671,0.635,0.647,0.674,0,0,0,0
0.68,45,45,45,45,123.149,188.928,134.734,197.98,129.184,214.88,138.075,216.904,0.731,0.633,0.675,0.682,0.68,0.654,0,0,0,0
0.793,46,46,46,46,57.927,33.678,57.96,31.323,56.758,30.907,56.458,30.756,0.693,0.821,0.865,0.757,0.793,0.843,1,1,1,1
0.774,47,47,47,47,13.975,84.156,13.975,84.156,14.598,83.983,13.302,83.911,0.812,0.76,0.751,0.786,0.774,0.755,0,0,0,0
0.662,48,48,48,48,445.58,180.668,443.718,178.884,443.372,171.064,446.342,170.295,0.678,0.693,0.613,0.686,0.662,0.653,0,0,0,0
0.795,49,49,49,49,139.143,123.659,137.895,132.57,132.543,140.749,133.499,142.895,0.741,0.777,0.869,0.759,0.795,0.823,0,0,0,0
