full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.981,855,855,855,855,172.754,106.9,175.141,107.595,175.659,107.64,176.11,107.478,0.951,1.0,0.992,0.976,0.981,0.996,1,1,1,1
0.98,509,509,509,509,403.646,232.866,403.646,232.866,403.646,232.866,403.646,232.866,1.0,0.976,0.965,0.988,0.98,0.97,0,0,0,0
0.978,1585,1585,1585,1585,50.79,84.727,48.311,84.505,46.175,83.264,44.561,81.921,0.961,0.995,0.978,0.978,0.978,0.987,1,1,1,1
0.968,945,945,945,945,153.671,42.713,155.333,40.846,155.333,40.846,155.333,40.846,0.961,0.967,0.975,0.964,0.968,0.971,0,0,0,0
0.967,1805,1805,1805,1805,422.11,322.875,422.11,322.875,422.11,322.875,422.11,322.875,0.984,0.96,0.958,0.972,0.967,0.959,0,0,0,0
0.967,531,531,531,531,158.477,412.08,158.477,412.08,158.477,412.08,158.037,411.251,0.968,0.971,0.962,0.97,0.967,0.967,1,1,1,1
0.963,1391,1391,1391,1391,11.105,366.666,11.105,366.666,11.105,366.666,11.105,366.666,0.951,0.987,0.953,0.969,0.963,0.97,2,2,2,2
0.962,198,198,198,198,204.699,307.706,206.247,309.939,207.298,312.846,199.838,312.256,0.963,0.968,0.956,0.965,0.962,0.962,2,2,2,2
0.96,712,712,712,712,459.071,210.066,459.071,210.066,459.071,210.066,459.071,210.066,0.949,0.965,0.966,0.957,0.96,0.966,0,0,0,0
0.96,1789,1789,1789,1789,477.725,69.93,477.725,69.93,477.725,69.93,477.725,69.93,0.913,0.989,0.977,0.951,0.96,0.983,0,0,0,0
0.959,471,471,471,471,14.114,174.773,14.114,174.773,14.41,175.854,14.525,176.379,0.952,0.946,0.979,0.949,0.959,0.963,0,0,0,0
0.959,1811,1811,1811,1811,470.034,487.694,470.034,487.694,470.034,487.694,470.034,487.694,0.934,0.96,0.982,0.947,0.959,0.971,0,0,0,0
0.959,521,521,521,521,397.301,110.0,397.301,110.0,397.301,110.0,397.301,110.0,0.935,0.948,0.993,0.941,0.959,0.97,0,0,0,0
0.959,1813,1813,1813,1813,393.106,394.687,393.363,394.71,394.078,394.795,394.078,394.795,0.936,0.965,0.976,0.951,0.959,0.971,0,0,0,0
0.959,1721,1721,1721,1721,456.798,170.374,456.798,170.374,456.798,170.374,456.798,170.374,0.972,0.936,0.97,0.954,0.959,0.953,0,0,0,0
0.958,418,418,418,418,210.22,12.683,210.22,12.683,210.22,12.683,210.22,12.683,0.915,0.98,0.98,0.947,0.958,0.98,0,0,0,0
0.958,1094,1094,1094,1094,483.002,199.709,483.002,199.709,483.002,199.709,483.002,199.709,0.964,0.973,0.938,0.968,0.958,0.955,0,0,0,0
